Hectare,Regime,Total Volume,Total Biomassyt,Total Carbon Stockyt,Remaining Trees,Unique Species,objective,Year,Type,carbon_loss
4,12,41320.07813654822,307330725.7107545,144445441.0840546,5493,419,sp,2001,Now,15880.9
1,20,41434.83158227975,308537190.207165,145012479.39736754,5879,436,sp,2001,Now,28454.29
3,20,39210.22003002925,291814843.1127863,137152976.26300955,3856,416,sp,2001,Now,89763.22
4,16,41320.07813654822,307330725.7107545,144445441.0840546,5493,419,sp,2001,Now,15880.9
2,12,31442.5949857905,233620960.43493736,109801851.40442055,5934,439,sp,2001,Now,10231.22
2,16,31442.5949857905,233620960.43493736,109801851.40442055,5934,439,sp,2001,Now,10231.22
5,20,36267.32565049646,269334416.49621105,126587175.75321922,5678,466,sp,2001,Now,20032.35
5,12,36267.32565049646,269334416.49621105,126587175.75321922,5678,466,sp,2001,Now,20032.35
5,16,36267.32565049646,269334416.49621105,126587175.75321922,5678,466,sp,2001,Now,20032.35
2,20,31442.5949857905,233620960.43493736,109801851.40442055,5934,439,sp,2001,Now,10231.22
3,12,39210.22003002925,291814843.1127863,137152976.26300955,3856,416,sp,2001,Now,89763.22
1,16,41434.83158227975,308537190.207165,145012479.39736754,5879,436,sp,2001,Now,28454.29
4,20,41320.07813654822,307330725.7107545,144445441.0840546,5493,419,sp,2001,Now,15880.9
1,12,41434.83158227975,308537190.207165,145012479.39736754,5879,436,sp,2001,Now,28454.29
3,16,39210.22003002925,291814843.1127863,137152976.26300955,3856,416,sp,2001,Now,89763.22
4,12,41253.50446991141,306838767.60696304,144214220.7752726,5483,419,volume,2001,Now,585.26
1,20,41325.04768452226,307725670.354099,144631065.06642652,5863,436,volume,2001,Now,762.63
3,20,39078.19862392773,290838698.9316529,136694188.49787682,3839,416,volume,2001,Now,2948.47
4,16,41240.57226083254,306743229.86015224,144169318.03427154,5480,419,volume,2001,Now,585.26
2,12,31395.833144905024,233275441.00056064,109639457.2702635,5925,439,volume,2001,Now,652.09
2,16,31388.155602968454,233218705.95341355,109612791.79810438,5921,439,volume,2001,Now,652.09
5,20,36127.28236426858,268296610.9339473,126099407.13895524,5668,466,volume,2001,Now,1296.17
5,12,36131.03460399421,268324330.3597717,126112435.26909272,5669,466,volume,2001,Now,1296.17
5,16,36131.03460399421,268324330.3597717,126112435.26909272,5669,466,volume,2001,Now,1296.17
2,20,31375.6848938504,233126547.75612617,109569477.44537929,5918,439,volume,2001,Now,652.09
3,12,39123.97543807162,291177030.8531039,136853204.5009588,3846,416,volume,2001,Now,2948.47
1,16,41350.17109914778,307911343.9055892,144718331.6356269,5867,436,volume,2001,Now,762.63
4,20,41240.57226083254,306743229.86015224,144169318.03427154,5480,419,volume,2001,Now,585.26
1,12,41362.54276955743,308002737.3917779,144761286.5741356,5869,436,volume,2001,Now,762.63
3,16,39094.47619721368,290958953.44203675,136750708.11775726,3843,416,volume,2001,Now,2948.47
4,16,42936.321937227876,319318536.7539283,150079712.27434632,5493,419,sp,2006,Now,89763.22
3,20,40789.12401330474,303523030.2919123,142655824.23719877,3856,416,sp,2006,Now,89763.22
1,20,42885.37412921227,319299916.14113176,150070960.58633196,5879,436,sp,2006,Now,89763.22
4,12,42936.321937227876,319318536.7539283,150079712.27434632,5493,419,sp,2006,Now,89763.22
5,20,37845.83257701625,281039778.5358839,132088695.91186544,5678,466,sp,2006,Now,89763.22
2,16,32872.20793826151,244215318.15019703,114781199.53059259,5934,439,sp,2006,Now,89763.22
2,12,32872.20793826151,244215318.15019703,114781199.53059259,5934,439,sp,2006,Now,89763.22
2,20,32872.20793826151,244215318.15019703,114781199.53059259,5934,439,sp,2006,Now,89763.22
5,16,37845.83257701625,281039778.5358839,132088695.91186544,5678,466,sp,2006,Now,89763.22
5,12,37845.83257701625,281039778.5358839,132088695.91186544,5678,466,sp,2006,Now,89763.22
3,16,40789.12401330474,303523030.2919123,142655824.23719877,3856,416,sp,2006,Now,89763.22
1,12,42885.37412921227,319299916.14113176,150070960.58633196,5879,436,sp,2006,Now,89763.22
4,20,42936.321937227876,319318536.7539283,150079712.27434632,5493,419,sp,2006,Now,89763.22
1,16,42885.37412921227,319299916.14113176,150070960.58633196,5879,436,sp,2006,Now,89763.22
3,12,40789.12401330474,303523030.2919123,142655824.23719877,3856,416,sp,2006,Now,89763.22
4,16,42847.35689789971,318661124.83206636,149770728.67107117,5480,419,volume,2006,Now,2948.47
3,20,40642.639345277596,302439950.6100383,142146776.78671798,3839,416,volume,2006,Now,2948.47
1,20,42766.92277184645,318424303.99288356,149659422.87665525,5863,436,volume,2006,Now,2948.47
4,12,42861.94424127275,318768889.38694227,149821378.01186287,5483,419,volume,2006,Now,2948.47
5,20,37698.79306884782,279950141.01601934,131576566.27752906,5668,466,volume,2006,Now,2948.47
2,16,32812.287948709796,243772558.95745564,114573102.71000414,5921,439,volume,2006,Now,2948.47
2,12,32820.83631400059,243835726.90209928,114602791.64398666,5925,439,volume,2006,Now,2948.47
2,20,32798.616252385065,243671519.41782296,114525614.12637678,5918,439,volume,2006,Now,2948.47
5,16,37702.91512630883,279980591.1127511,131590877.82299301,5669,466,volume,2006,Now,2948.47
5,12,37702.91512630883,279980591.1127511,131590877.82299301,5669,466,volume,2006,Now,2948.47
3,16,40662.33553444075,302585455.37039226,142215164.02408433,3843,416,volume,2006,Now,2948.47
1,12,42808.077094017164,318728424.2200882,149802359.38344145,5869,436,volume,2006,Now,2948.47
4,20,42847.35689789971,318661124.83206636,149770728.67107117,5480,419,volume,2006,Now,2948.47
1,16,42794.42537299578,318627572.01608837,149754958.8475615,5867,436,volume,2006,Now,2948.47
3,12,40694.289022969504,302821692.37260914,142326195.4151263,3846,416,volume,2006,Now,2948.47
