Hectare,Regime,Total Volume,Total Biomassyt,Total Carbon Stockyt,Remaining Trees,Unique Species,objective,Year,Type,carbon_loss
4,16,52665.834357165295,391467397.5596462,183989676.85303372,5493,419,sp,2031,Predicted,89763.22
3,20,50311.67112566488,374122963.0929431,175837792.65368325,3856,416,sp,2031,Predicted,89763.22
1,20,51752.31105359898,385066916.44544834,180981450.72936067,5879,436,sp,2031,Predicted,89763.22
4,12,52665.834357165295,391467397.5596462,183989676.85303372,5493,419,sp,2031,Predicted,89763.22
5,20,47488.056009834545,352525021.534453,165686760.12119284,5678,466,sp,2031,Predicted,89763.22
2,16,41704.33429704164,309656122.75840545,145538377.69645053,5934,439,sp,2031,Predicted,89763.22
2,12,41704.33429704164,309656122.75840545,145538377.69645053,5934,439,sp,2031,Predicted,89763.22
2,20,41704.33429704164,309656122.75840545,145538377.69645053,5934,439,sp,2031,Predicted,89763.22
5,16,47488.056009834545,352525021.534453,165686760.12119284,5678,466,sp,2031,Predicted,89763.22
5,12,47488.056009834545,352525021.534453,165686760.12119284,5678,466,sp,2031,Predicted,89763.22
3,16,50311.67112566488,374122963.0929431,175837792.65368325,3856,416,sp,2031,Predicted,89763.22
1,12,51752.31105359898,385066916.44544834,180981450.72936067,5879,436,sp,2031,Predicted,89763.22
4,20,52665.834357165295,391467397.5596462,183989676.85303372,5493,419,sp,2031,Predicted,89763.22
1,16,51752.31105359898,385066916.44544834,180981450.72936067,5879,436,sp,2031,Predicted,89763.22
3,12,50311.67112566488,374122963.0929431,175837792.65368325,3856,416,sp,2031,Predicted,89763.22
4,16,52520.48901381742,390393081.80265665,183484748.4472486,5480,419,volume,2031,Predicted,652.09
3,20,50088.084914624604,372469577.0361782,175060701.20700377,3839,416,volume,2031,Predicted,652.09
1,20,51568.07645357896,383704865.44887304,180341286.7609703,5863,436,volume,2031,Predicted,652.09
4,12,52545.39680523904,390577120.87738943,183571246.81237304,5483,419,volume,2031,Predicted,652.09
5,20,47295.687191429795,351099625.4352326,165016823.9545593,5668,466,volume,2031,Predicted,652.09
2,16,41594.33754005782,308843245.43625396,145156325.35503936,5921,439,volume,2031,Predicted,652.09
2,12,41612.233619076105,308975474.591092,145218473.05781323,5925,439,volume,2031,Predicted,652.09
2,20,41573.81186330682,308691495.36501586,145085002.82155746,5918,439,volume,2031,Predicted,652.09
5,16,47305.42032429781,351171529.2841865,165050618.76356766,5669,466,volume,2031,Predicted,652.09
5,12,47305.42032429781,351171529.2841865,165050618.76356766,5669,466,volume,2031,Predicted,652.09
3,16,50124.745682497334,372740433.97678614,175188003.96908948,3843,416,volume,2031,Predicted,652.09
1,12,51634.38473304082,384194992.10788,180571646.29070354,5869,436,volume,2031,Predicted,652.09
4,20,52520.48901381742,390393081.80265665,183484748.4472486,5480,419,volume,2031,Predicted,652.09
1,16,51611.044166679865,384022524.7813558,180490586.64723718,5867,436,volume,2031,Predicted,652.09
3,12,50170.59281798387,373079521.657405,175347375.17898035,3846,416,volume,2031,Predicted,652.09
4,16,54812.17807012613,407385291.1244742,191471086.82850286,5493,419,sp,2036,Predicted,89763.22
3,20,52440.633964685825,389908621.2728406,183257051.99823508,3856,416,sp,2036,Predicted,89763.22
