Hectare,Regime,Total Volume,Total Biomassyt,Total Carbon Stockyt,Remaining Trees,Unique Species,objective,Year,Type,carbon_loss
1,20,5087.515324,37854035.85,17791396.85,582,332,sp,2051,Predicted,81347.92
2,16,4099.748118,30440771.39,14307162.55,585,332,sp,2051,Predicted,81347.92
2,12,4099.748118,30440771.39,14307162.55,587,332,sp,2051,Predicted,81347.92
2,20,4099.748118,30440771.39,14307162.55,582,332,sp,2051,Predicted,81347.92
1,12,5087.515324,37854035.85,17791396.85,587,332,sp,2051,Predicted,81347.92
1,16,5087.515324,37854035.85,17791396.85,584,331,sp,2051,Predicted,81347.92
1,20,5069.404126,37720139.31,17728465.48,581,331,volume,2051,Predicted,590.96
2,16,4088.934877,30360861.41,14269604.87,584,332,volume,2051,Predicted,590.96
2,12,4090.694152,30373860.21,14275714.3,589,331,volume,2051,Predicted,590.96
2,20,4086.917098,30345943.62,14262593.5,582,331,volume,2051,Predicted,590.96
1,12,5075.922567,37768321.26,17751110.99,588,332,volume,2051,Predicted,590.96
1,16,5073.628071,37751366.84,17743142.41,585,332,volume,2051,Predicted,590.96
1,20,5278.922803,39273825.79,18458698.12,580,332,sp,2056,Predicted,81347.92
2,16,4292.006348,31865499.75,14976784.88,585,332,sp,2056,Predicted,81347.92
2,12,4292.006348,31865499.75,14976784.88,588,332,sp,2056,Predicted,81347.92
2,20,4292.006348,31865499.75,14976784.88,582,332,sp,2056,Predicted,81347.92
1,12,5278.922803,39273825.79,18458698.12,588,331,sp,2056,Predicted,81347.92
1,16,5278.922803,39273825.79,18458698.12,584,331,sp,2056,Predicted,81347.92
1,20,5259.346287,39129089.95,18390672.27,580,331,volume,2056,Predicted,590.96
2,16,4280.214649,31778353.71,14935826.24,584,332,volume,2056,Predicted,590.96
2,12,4282.170014,31792801.86,14942616.87,588,331,volume,2056,Predicted,590.96
2,20,4278.045728,31762317.11,14928289.05,582,332,volume,2056,Predicted,590.96
1,12,5266.531453,39182202.96,18415635.39,587,332,volume,2056,Predicted,590.96
1,16,5264.044564,39163825.66,18406998.05,585,332,volume,2056,Predicted,590.96
