Hectare,Regime,Total Volume,Total Biomassyt,Total Carbon Stockyt,Remaining Trees,Unique Species,objective,Year,Type,carbon_loss
2,12,3090.966965,22966128.31,10794080.31,587,332,sp,2021,Now,9272.04
2,16,3090.966965,22966128.31,10794080.31,585,332,sp,2021,Now,9272.04
2,20,3090.966965,22966128.31,10794080.31,582,332,sp,2021,Now,9272.04
1,20,4073.25463,30330774.63,14255464.08,582,331,sp,2021,Now,25786.7
1,16,4073.25463,30330774.63,14255464.08,584,331,sp,2021,Now,25786.7
1,12,4073.25463,30330774.63,14255464.08,587,331,sp,2021,Now,25786.7
1,20,4062.462314,30250998.11,14217969.11,581,331,volume,2021,Now,691.13
2,12,3086.370037,22932162,10778116.14,589,332,volume,2021,Now,590.96
2,16,3085.615296,22926584.66,10775494.79,585,332,volume,2021,Now,590.96
2,20,3084.389362,22917525.04,10771236.76,582,332,volume,2021,Now,590.96
1,16,4064.932074,30269250.76,14226547.85,585,331,volume,2021,Now,691.13
1,12,4066.148272,30278235.2,14230770.55,588,331,volume,2021,Now,691.13
1,20,4215.850338,31388805.31,14752738.5,582,331,sp,2026,Now,81347.92
2,16,3231.505187,24007607.55,11283575.54,585,332,sp,2026,Now,81347.92
2,12,3231.505187,24007607.55,11283575.54,587,332,sp,2026,Now,81347.92
2,20,3231.505187,24007607.55,11283575.54,580,332,sp,2026,Now,81347.92
1,12,4215.850338,31388805.31,14752738.5,587,331,sp,2026,Now,81347.92
1,16,4215.850338,31388805.31,14752738.5,584,331,sp,2026,Now,81347.92
1,20,4204.205967,31302728.19,14712282.25,582,331,volume,2026,Now,2672.05
2,16,3225.614748,23964082.07,11263118.57,585,332,volume,2026,Now,2672.05
2,12,3226.455095,23970291.8,11266037.14,588,332,volume,2026,Now,2672.05
2,20,3224.27075,23954149.36,11258450.2,582,332,volume,2026,Now,2672.05
1,12,4208.251646,31332624.75,14726333.64,587,331,volume,2026,Now,2672.05
1,16,4206.909613,31322710.47,14721673.92,583,331,volume,2026,Now,2672.05
