,Hectare,Regime,Dipterocarp,Non-Dipterocarp,Chengal,Total Trees,type
0,5,Heavy,5,14,0,20,sp
1,5,Medium,5,10,0,16,sp
2,5,Light,3,8,0,12,sp
3,4,Heavy,4,15,0,20,sp
4,4,Medium,4,12,0,16,sp
5,4,Light,3,9,0,12,sp
6,3,Heavy,10,9,0,20,sp
7,3,Medium,7,8,0,16,sp
8,3,Light,7,5,0,12,sp
9,2,Heavy,2,18,0,20,sp
10,2,Medium,2,14,0,16,sp
11,2,Light,1,11,0,12,sp
12,1,Heavy,1,18,1,20,sp
13,1,Medium,1,14,1,16,sp
14,1,Light,1,10,1,12,sp
0,1,Heavy,4,15,0,20,volume
1,1,Medium,4,12,0,16,volume
2,1,Light,3,9,0,12,volume
3,2,Heavy,0,20,0,20,volume
4,2,Medium,0,16,0,16,volume
5,2,Light,0,12,0,12,volume
6,3,Heavy,7,13,0,20,volume
7,3,Medium,4,12,0,16,volume
8,3,Light,2,10,0,12,volume
9,4,Heavy,1,19,0,20,volume
10,4,Medium,1,15,0,16,volume
11,4,Light,1,11,0,12,volume
12,5,Heavy,1,19,0,20,volume
13,5,Medium,1,15,0,16,volume
14,5,Light,1,11,0,12,volume
